PMID,Title,Authors,Journal,Year,Has_NonAcademic_Author,Affiliations
40727760,APG-115 Induces SLC7A11-Mediated Ferroptosis and Upregulates PD-L1 Expression in Thyroid Cancer.,Lei Liang; Zhulan Chen; Defeng Lei; Chunwei Mo; Deren Lan; Juanru Ke; Weiqi Wang; Zhuo Yang; Xin Guo; Dong Chen; Yongsheng Zhao; Haibo Chen,ACS omega,2025,False,"Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Shantou University Medical College, Shantou 515041, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Central Laboratory, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Thyroid and Breast Surgery, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China.; Department of Nuclear Medicine, Peking University Shenzhen Hospital, 1120 Lianhua Road, Shenzhen 518036, Guangdong, China."
40727589,Ginseng-Derived Exosomes Attenuate Immune Evasion in NSCLC via PD-L1 Modulation.,Lin-Jia Zhu; Xiao-Qiang Chen; Qiu-Yan Lin; Jie-Ni Feng; Shao-Fei Yuan,Cancer management and research,2025,False,"Department of Respiratory Medicine, The Third Affiliated Hospital of Wenzhou Medical University, Ruian, Zhejiang, 325200, People's Republic of China.; Department of Medical Oncology, The Third Affiliated Hospital of Wenzhou Medical University; Liji Medical Research Academy; Life and Health Research Academy of Wenzhou Medical University, Ruian, Zhejiang, 325200, People's Republic of China.; Department of Medical Oncology, The Third Affiliated Hospital of Wenzhou Medical University; Liji Medical Research Academy; Life and Health Research Academy of Wenzhou Medical University, Ruian, Zhejiang, 325200, People's Republic of China.; Department of Medical Oncology, The Third Affiliated Hospital of Wenzhou Medical University; Liji Medical Research Academy; Life and Health Research Academy of Wenzhou Medical University, Ruian, Zhejiang, 325200, People's Republic of China.; Department of Medical Oncology, The Third Affiliated Hospital of Wenzhou Medical University; Liji Medical Research Academy; Life and Health Research Academy of Wenzhou Medical University, Ruian, Zhejiang, 325200, People's Republic of China."
40727481,Remarkable Response to Chemo-immunotherapy In Anaplastic Thyroid Cancer.,Francesca Carosi; Maria Concetta Nigro; Giambattista Siepe; Andrea Repaci; Laura Deborah Locati; Margherita Nannini,JCEM case reports,2025,False,"Department of Medical and Surgical Sciences, University of Bologna, Bologna 40138, Italy.; Department of Medical and Surgical Sciences, University of Bologna, Bologna 40138, Italy.; Radiation Oncology Unit, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna 40138, Italy.; Division of Endocrinology and Diabetes Prevention and Care, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna 40138, Italy.; Internal Medicine and Therapeutics Department, University of Pavia, Pavia 27100, Italy.; Medical Oncology Unit, Istituti Clinici Scientifici Maugeri IRCCS, Pavia 27100, Italy.; Department of Medical and Surgical Sciences, University of Bologna, Bologna 40138, Italy.; Medical Oncology Unit, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna 40138, Italy."
40727469,Glyoxalase 1 gene expression in various types of cancer cells immunopathology: a pan-cancer analysis study.,Ali M Alaseem; Jehad A Aldali; Glowi Alasiri; Muhanad Alhujaily; Khalid I AlHussaini; Osama A AlKhamees,Frontiers in oncology,2025,True,"Department of Pharmacology, College of Medicine, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia.; Department of Pathology, College of Medicine, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia.; Department of Biochemistry, College of Medicine, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia.; Department of Biochemistry, College of Medicine, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia.; Department of Internal Medicine, College of Medicine, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia.; Department of Pharmacology, College of Medicine, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia."
40727443,Role of the TLR signaling pathway in the pathogenesis of glioblastoma multiforme with an emphasis on immunotherapy.,Seyedeh Elham Norollahi; Kosar Babaei; Ali Rashidy-Pour; Bahman Yousefi; Rasoul Baharlou; Bahareh Farasati Far; Amir Jalali; Ali Akbar Samadani,Biochemistry and biophysics reports,2025,False,"Cancer Research Center and Department of Immunology, Semnan University of Medical Sciences, Semnan, Iran.; Noncommunicable Diseases Research Center, Neyshabur University of Medical Sciences, Neyshabur, Iran.; Research Center of Physiology, Semnan University of Medical Sciences, Semnan, Iran.; Cancer Research Center and Department of Immunology, Semnan University of Medical Sciences, Semnan, Iran.; Cancer Research Center and Department of Immunology, Semnan University of Medical Sciences, Semnan, Iran.; Department of Chemistry, Iran University of Science and Technology, Tehran, 1684613114, Iran.; Department of Applied Cellular Sciences and Tissue Engineering, Langroud School of Allied Medical Sciences, Guilan University of Medical Sciences, Rasht, Iran.; Guilan Road Trauma Research Center, Trauma Institute, Guilan University of Medical Sciences, Rasht, Iran."
40727285,Precision nanomaterials in colorectal cancer: advancing photodynamic and photothermal therapy.,Yuhan Chen; Dong Tang,RSC advances,2025,False,"Clinical Medical College, Yangzhou University Yangzhou 225000 People's Republic of China 2704766140@qq.com.; Department of General Surgery, Institute of General Surgery, Northern Jiangsu People's Hospital Affiliated to Yangzhou University, The Yangzhou Clinical Medical College of Xuzhou Medical University, The Yangzhou School of Clinical Medicine of Dalian Medical University, The Yangzhou School of Clinical Medicine of Nanjing Medical University, Northern Jiangsu People's Hospital, Clinical Teaching Hospital of Medical School, Nanjing University Yangzhou 225000 China 83392785@qq.com."
40727252,Toll-Like Receptors in the Immunotherapy Era: Dual-Edged Swords of Tumor Immunity and Clinical Translation.,Nueraili Maihemuti; Yueli Shi; Kaiyue Zhang; Xinyuan Jiang; Jiahe Chu; Yun Xu; Zhiyong Xu; Kai Wang,MedComm,2025,False,"Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China.; Department of Respiratory and Critical Care Medicine Center for Oncology Medicine the Fourth Affiliated Hospital of School of Medicine, and International School of Medicine, International Institutes of Medicine, Zhejiang University Yiwu China.; Zhejiang Key Laboratory of Precision Diagnosis and Treatment for Lung Cancer Yiwu China."
40727251,"Camrelizumab, an Anti-PD-1 Monoclonal Antibody, Plus Carboplatin and Nab-Paclitaxel as First-Line Setting for Extensive-Stage Small-Cell Lung Cancer: A Phase 2 Trial and Biomarker Analysis.",Jia Yu; Deyu Cai; Sha Zhao; Lei Wang; Xinlong Zheng; Anwen Xiong; Qi Wang; Bin Chen; Menghang Yang; Wei Li; Yan Wang; Jiajia Yuan; Changhong Zhao; Wei Shi; Caicun Zhou; Luonan Chen; Tao Jiang; Xiaohui Chen; Shengxiang Ren,MedComm,2025,True,"Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Key Laboratory of Systems Biology Shanghai Institute of Biochemistry and Cell Biology Center for Excellence in Molecular Cell Science Chinese Academy of Sciences Shanghai People's Republic of China.; School of Life Science and Technology ShanghaiTech University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Thoracic Surgery Clinical Oncology School of Fujian Medical University Affiliated to Fujian Cancer Hospital Fuzhou People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Interdisciplinary Institute of Medical Engineering of Fuzhou University Fuzhou People's Republic of China.; Jiangsu Hengrui Pharmaceuticals Co. Ltd. Shanghai People's Republic of China.; Jiangsu Hengrui Pharmaceuticals Co. Ltd. Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Key Laboratory of Systems Biology Shanghai Institute of Biochemistry and Cell Biology Center for Excellence in Molecular Cell Science Chinese Academy of Sciences Shanghai People's Republic of China.; School of Life Science and Technology ShanghaiTech University Shanghai People's Republic of China.; School of Mathematical Sciences and School of AI Shanghai Jiao Tong University Shanghai People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China.; Department of Thoracic Surgery Clinical Oncology School of Fujian Medical University Affiliated to Fujian Cancer Hospital Fuzhou People's Republic of China.; Graduate School of Fujian Medical University Fuzhou People's Republic of China.; Department of Medical Oncology Shanghai Pulmonary Hospital, School of Medicine, Tongji University Shanghai People's Republic of China."
40727114,Hemophagocytic Lymphohistiocytosis After Treatment With Checkpoint Inhibitor Therapy.,Cameron Peres; Christopher Willner,Journal of medical cases,2025,False,"Division of Hematology and Oncology, Henry Ford Cancer Institute, Detroit, MI 48202, USA.; Division of Hematology and Oncology, Henry Ford Cancer Institute, Detroit, MI 48202, USA."
40727080,Tailoring innovative silver nanoparticles for modern medicine: The importance of size and shape control and functional modifications.,Ibtissam Laib; Noura Gheraissa; Abir Benaissa; Latra Benkhira; Manel Azzi; Yousef Benaissa; Ahmed G Abdelaziz; Furong Tian; Maureen Walsh; Mikhael Bechelany; Ahmed Barhoum,Materials today. Bio,2025,True,"Department of Cellular and Molecular Biology, El Oued University, Algeria.; Laboratory of Biodiversity and Biotechnology Applications in Agriculture, University of El Oued, 39000, Algeria.; Department of Cellular and Molecular Biology, El Oued University, Algeria.; Laboratory of Biodiversity and Biotechnology Applications in Agriculture, University of El Oued, 39000, Algeria.; Laboratory of Biotechnology Biomaterial and Condensed Matter, Department of Process Engineering and Petrochemistry, Faculty of Technology, University of El Oued, El-Oued, 39000, Algeria.; Department of Process Engineering and Petrochemistry, Faculty of Technology, University of El Oued, 789, 39000, El Oued, BP, Algeria.; Department of Process Engineering and Petrochemistry, Faculty of Technology, University of El Oued, 789, 39000, El Oued, BP, Algeria.; Renewable Energy Development Research Unit in Arid Zones (UDERZA), University of El Oued, BP789, 39000, El Oued, Algeria.; Department of Cellular and Molecular Biology, El Oued University, Algeria.; Laboratory of Biology, Environment and Health, Faculty of Natural and Life Sciences, University of El Oued, 39000, Algeria.; VPRS Laboratory, Chemistry Department, Faculty of Mathematics and Matter Sciences. University of KASDI Merbah, Ouargla, 30000, Algeria.; Biochemistry Division, Chemistry Department, Faculty of Science, Helwan University, Cairo, 11795, Egypt.; Nanolab Research Centre, Physical to Life Sciences Research Hub, Technological University Dublin, Camden Row, D08 CKP1, Dublin, Ireland.; Chemical and BioPharmaceutical Sciences, Technological University Dublin, Tallaght Campus, 24, Dublin, D24 FKT9, Ireland.; Institut Européen des Membranes, IEM, UMR-5635, University Montpellier, ENSCM, CNRS, Place Eugène Bataillon, 34095, Montpellier, France.; Functional Materials Group, Gulf University for Science and Technology, Mubarak Al-Abdullah, 32093, Kuwait.; Chemical and BioPharmaceutical Sciences, Technological University Dublin, Grangegorman Campus, 7, Dublin, D07 ADY7, Ireland."
